player1,player2,SetNo,P1GamesWon,P2GamesWon,P1Score,P2Score,video_name
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_32.2_253084.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_34.3_271130.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_35.1_101911.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_35.2_103127.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_36.2_269973.jpg
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_36.5_49408.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_37.4_96883.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_37.8_265481.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_39.0_151964.jpg
NO MATCH,NO MATCH,NO MATCH,NO MATCH,NO MATCH,MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_41.6_235763.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_44.8_147058.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_45.0_139853.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_47.0_158338.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_47.4_218436.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_49.3_214267.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_49.4_222725.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_49.6_154346.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_50.3_219132.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_50.7_20345.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,NO MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_51.7_137849.jpg
MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Ajla Tomljanovic vs. Elise Mertens Full Match ｜ 2024 US Open Round 2.f617_52.0_149145.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_30.6_131885.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_30.8_205262.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_32.9_203114.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_34.3_171039.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_34.8_17316.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_35.3_78782.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_35.7_197764.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_35.7_242323.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_36.3_348020.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_36.6_162931.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_36.8_300811.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_36.9_215546.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_36.9_387554.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_36.9_390217.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.0_133113.jpg
NO MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,MATCH,Albert Ramos-Vinolas vs. Matteo Berrettini Full Match ｜ 2024 US Open Round 1.f617_37.1_272014.jpg
